------------------------------------------------------------------------------------
Date: 12/9/2023 -- 09:46:10 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 25759
decoder.bytes                                 | Total                     | 5675281
decoder.ipv4                                  | Total                     | 25019
decoder.ethernet                              | Total                     | 25759
decoder.arp                                   | Total                     | 740
decoder.tcp                                   | Total                     | 23785
tcp.syn                                       | Total                     | 1104
tcp.synack                                    | Total                     | 938
tcp.rst                                       | Total                     | 254
decoder.udp                                   | Total                     | 1155
decoder.avg_pkt_size                          | Total                     | 220
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1469
flow.tcp                                      | Total                     | 985
flow.udp                                      | Total                     | 484
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 15
decoder.event.ipv4.opt_pad_required           | Total                     | 79
flow.wrk.flows_evicted_needs_work             | Total                     | 55
flow.wrk.flows_evicted_pkt_inject             | Total                     | 97
flow.wrk.flows_evicted                        | Total                     | 212
flow.wrk.flows_injected                       | Total                     | 51
tcp.sessions                                  | Total                     | 971
tcp.ssn_from_cache                            | Total                     | 18
tcp.ssn_from_pool                             | Total                     | 953
tcp.ack_unseen_data                           | Total                     | 6
tcp.segment_from_cache                        | Total                     | 11355
tcp.segment_from_pool                         | Total                     | 144
tcp.reassembly_gap                            | Total                     | 1
tcp.overlap                                   | Total                     | 123
app_layer.flow.http                           | Total                     | 12
app_layer.tx.http                             | Total                     | 18
app_layer.flow.tls                            | Total                     | 748
app_layer.error.tls.gap                       | Total                     | 1
app_layer.flow.smb                            | Total                     | 39
app_layer.tx.smb                              | Total                     | 477
app_layer.flow.dcerpc_tcp                     | Total                     | 57
app_layer.tx.dcerpc_tcp                       | Total                     | 265
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ntp                            | Total                     | 17
app_layer.tx.ntp                              | Total                     | 17
app_layer.flow.krb5_tcp                       | Total                     | 30
app_layer.tx.krb5_tcp                         | Total                     | 60
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 47
app_layer.flow.dns_udp                        | Total                     | 243
app_layer.tx.dns_udp                          | Total                     | 471
app_layer.flow.failed_udp                     | Total                     | 222
flow.end.state.new                            | Total                     | 237
flow.end.state.established                    | Total                     | 301
flow.end.state.closed                         | Total                     | 931
flow.end.tcp_state.syn_sent                   | Total                     | 33
flow.end.tcp_state.established                | Total                     | 6
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 931
flow.end.tcp_liberal                          | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1206
flow.recycler.queue_avg                       | Total                     | 3
flow.recycler.queue_max                       | Total                     | 1031
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/9/2023 -- 09:46:58 (uptime: 0d, 00h 00m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 25759
decoder.bytes                                 | Total                     | 5675281
decoder.ipv4                                  | Total                     | 25019
decoder.ethernet                              | Total                     | 25759
decoder.arp                                   | Total                     | 740
decoder.tcp                                   | Total                     | 23785
tcp.syn                                       | Total                     | 1104
tcp.synack                                    | Total                     | 938
tcp.rst                                       | Total                     | 254
decoder.udp                                   | Total                     | 1155
decoder.avg_pkt_size                          | Total                     | 220
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1469
flow.tcp                                      | Total                     | 985
flow.udp                                      | Total                     | 484
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 16
decoder.event.ipv4.opt_pad_required           | Total                     | 79
flow.wrk.flows_evicted_needs_work             | Total                     | 870
flow.wrk.flows_evicted_pkt_inject             | Total                     | 916
flow.wrk.flows_evicted                        | Total                     | 206
flow.wrk.flows_injected                       | Total                     | 860
tcp.sessions                                  | Total                     | 971
tcp.ssn_from_cache                            | Total                     | 11
tcp.ssn_from_pool                             | Total                     | 960
tcp.ack_unseen_data                           | Total                     | 6
tcp.segment_from_cache                        | Total                     | 593
tcp.segment_from_pool                         | Total                     | 11257
tcp.reassembly_gap                            | Total                     | 1
tcp.overlap                                   | Total                     | 143
detect.alert                                  | Total                     | 653
detect.alerts_suppressed                      | Total                     | 93
app_layer.flow.http                           | Total                     | 12
app_layer.tx.http                             | Total                     | 18
app_layer.flow.tls                            | Total                     | 748
app_layer.error.tls.gap                       | Total                     | 1
app_layer.flow.smb                            | Total                     | 39
app_layer.tx.smb                              | Total                     | 477
app_layer.flow.dcerpc_tcp                     | Total                     | 57
app_layer.tx.dcerpc_tcp                       | Total                     | 265
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ntp                            | Total                     | 17
app_layer.tx.ntp                              | Total                     | 17
app_layer.flow.krb5_tcp                       | Total                     | 30
app_layer.tx.krb5_tcp                         | Total                     | 60
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 47
app_layer.flow.dns_udp                        | Total                     | 243
app_layer.tx.dns_udp                          | Total                     | 471
app_layer.flow.failed_udp                     | Total                     | 222
flow.end.state.new                            | Total                     | 237
flow.end.state.established                    | Total                     | 301
flow.end.state.closed                         | Total                     | 931
flow.end.tcp_state.syn_sent                   | Total                     | 33
flow.end.tcp_state.established                | Total                     | 6
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 931
flow.end.tcp_liberal                          | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 403
flow.recycler.queue_max                       | Total                     | 300
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 476280
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/14/2023 -- 11:26:49 (uptime: 0d, 00h 01m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.afpacket.polls                        | Total                     | 232
capture.afpacket.poll_timeout                 | Total                     | 232
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/14/2023 -- 11:26:57 (uptime: 0d, 00h 01m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.afpacket.polls                        | Total                     | 587
capture.afpacket.poll_timeout                 | Total                     | 587
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/14/2023 -- 11:27:05 (uptime: 0d, 00h 01m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.afpacket.polls                        | Total                     | 852
capture.afpacket.poll_timeout                 | Total                     | 852
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/14/2023 -- 11:27:13 (uptime: 0d, 00h 01m 34s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.afpacket.polls                        | Total                     | 1182
capture.afpacket.poll_timeout                 | Total                     | 1182
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
